,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,RANK_MIN,RANK_FGM,RANK_FGA,RANK_FG_PCT,RANK_FG3M,RANK_FG3A,RANK_FG3_PCT,RANK_FTM,RANK_FTA,RANK_FT_PCT,RANK_OREB,RANK_DREB,RANK_REB,RANK_AST,RANK_STL,RANK_BLK,RANK_TOV,RANK_PTS,RANK_EFF
0,1626166,2015-16,00,1610612760,OKC,NR,NR,NR,322,296,285,,199,188,,369,375,,378,333,349,178,222,340,285,307,312
1,1626166,2016-17,00,1610612741,CHI,NR,NR,NR,361,351,329,,249,248,,425,426,,433,372,381,284,352,371,334,355,389
2,1626166,2017-18,00,1610612741,CHI,NR,NR,NR,340,321,309,,231,246,,396,402,,314,372,366,178,283,313,300,325,329
3,1626166,2018-19,00,1610612739,CLE,NR,NR,NR,328,321,317,,286,283,,316,335,,365,364,368,201,261,310,273,319,328
4,1626166,2019-20,00,1610612756,PHX,NR,NR,NR,419,398,400,,317,349,,432,445,,437,413,422,373,389,418,406,399,404
5,1626166,2020-21,00,1610612756,PHX,NR,NR,NR,234,185,198,,153,187,10.0,226,263,,342,245,266,72,195,214,182,189,174
6,1626166,2021-22,00,1610612756,PHX,NR,NR,NR,215,170,133,,172,168,,194,216,,322,232,251,55,207,230,99,178,192
7,1626166,2022-23,00,1610612756,PHX,NR,NR,NR,273,224,201,,175,191,,253,262,,389,307,331,96,231,333,159,232,262
8,1626166,2023-24,00,1610612755,PHI,NR,NR,NR,213,202,183,,114,123,58.0,217,236,,331,304,319,108,194,298,183,192,223
9,1626166,2024-25,00,1610612752,NYK,NR,NR,NR,255,220,215,,141,165,51.0,291,312,,339,299,317,108,214,205,262,228,234
