,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,RANK_MIN,RANK_FGM,RANK_FGA,RANK_FG_PCT,RANK_FG3M,RANK_FG3A,RANK_FG3_PCT,RANK_FTM,RANK_FTA,RANK_FT_PCT,RANK_OREB,RANK_DREB,RANK_REB,RANK_AST,RANK_STL,RANK_BLK,RANK_TOV,RANK_PTS,RANK_EFF
0,1629020,2018-19,00,1610612743,DEN,NR,NR,NR,204,202,207,,155,183,,178,183,,170,186,193,183,171,96,180,204,193
1,1629020,2021-22,00,1610612750,MIN,NR,NR,NR,113,123,123,,162,187,,94,94,,39,60,57,135,58,86,114,124,92
2,1629020,2022-23,00,1610612747,LAL,NR,NR,NR,52,82,73,,87,65,,58,59,,24,58,49,77,28,18,51,82,70
