TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
1610612764,2024,00,Bilal Coulibaly,Bilal,bilal-coulibaly,0,G,6-8,195,"JUL 26, 2004",20.0,1,Metropolitans 92,1641731,Draft Rights Traded from IND on 06/23/23
1610612764,2024,00,Tristan Vukcevic,Tristan,tristan-vukcevic,00,F,6-10,220,"MAR 11, 2003",21.0,1,Real Madrid,1641774,#42 Pick in 2023 Draft
1610612764,2024,00,Johnny Davis,Johnny,johnny-davis,1,G,6-4,195,"FEB 27, 2002",22.0,2,Wisconsin,1631098,#10 Pick in 2022 Draft
1610612764,2024,00,Jared Butler,Jared,jared-butler,4,G,6-3,193,"AUG 25, 2000",24.0,3,Baylor,1630215,Signed on 07/28/23
1610612764,2024,00,Patrick Baldwin Jr.,Patrick,patrick-baldwin-jr,7,F,6-9,220,"NOV 18, 2002",22.0,2,Wisconsin-Milwaukee,1631116,Traded from GSW on 07/06/23
1610612764,2024,00,Carlton Carrington,Carlton,carlton-carrington,8,G,6-4,190,"JUL 21, 2005",19.0,R,Pittsburgh,1642267,Draft Rights Traded from POR on 07/06/24
1610612764,2024,00,Justin Champagnie,Justin,justin-champagnie,9,G-F,6-6,206,"JUN 29, 2001",23.0,3,Pittsburgh,1630551,Signed on 02/22/24
1610612764,2024,00,Jordan Poole,Jordan,jordan-poole,13,G,6-4,194,"JUN 19, 1999",25.0,5,Michigan,1629673,Traded from GSW on 07/06/23
1610612764,2024,00,Saddiq Bey,Saddiq,saddiq-bey,14,G-F,6-7,215,"APR 09, 1999",25.0,4,Villanova,1630180,Signed on 07/11/24
1610612764,2024,00,Malcolm Brogdon,Malcolm,malcolm-brogdon,15,G,6-4,229,"DEC 11, 1992",32.0,8,Virginia,1627763,Traded from POR on 07/06/24
1610612764,2024,00,Anthony Gill,Anthony,anthony-gill,16,F,6-8,230,"OCT 17, 1992",32.0,4,Virginia,1630264,Signed on 11/30/20
1610612764,2024,00,Jonas Valančiūnas,Jonas,jonas-valančiūnas,17,C,6-11,265,"MAY 06, 1992",32.0,12,Lietuvos rytas Vilnius,202685,Traded from NOP on 07/06/24
1610612764,2024,00,Kyshawn George,Kyshawn,kyshawn-george,18,F,6-8,200,"DEC 12, 2003",21.0,R,Miami,1642273,Draft Rights Traded from NYK on 06/26/24
1610612764,2024,00,Alexandre Sarr,Alexandre,alexandre-sarr,20,C,7-0,205,"APR 26, 2005",19.0,R,Perth,1642259,#2 Pick in 2024 Draft
1610612764,2024,00,Richaun Holmes,Richaun,richaun-holmes,22,F,6-9,235,"OCT 15, 1993",31.0,9,Bowling Green,1626158,Traded from DAL on 02/08/24
1610612764,2024,00,Corey Kispert,Corey,corey-kispert,24,F,6-6,224,"MAR 03, 1999",25.0,3,Gonzaga,1630557,#15 Pick in 2021 Draft
1610612764,2024,00,Kyle Kuzma,Kyle,kyle-kuzma,33,F,6-9,221,"JUL 24, 1995",29.0,7,Utah,1628398,Traded from LAL on 08/06/21
1610612764,2024,00,Marvin Bagley III,Marvin,marvin-bagley-iii,35,F,6-10,235,"MAR 14, 1999",25.0,6,Duke,1628963,Traded from DET on 01/14/24
