,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,RANK_MIN,RANK_FGM,RANK_FGA,RANK_FG_PCT,RANK_FG3M,RANK_FG3A,RANK_FG3_PCT,RANK_FTM,RANK_FTA,RANK_FT_PCT,RANK_OREB,RANK_DREB,RANK_REB,RANK_AST,RANK_STL,RANK_BLK,RANK_TOV,RANK_PTS,RANK_EFF
0,1631094,2022-23,00,1610612753,ORL,NR,NR,NR,31,47,33,111.0,145,115,149.0,11,9,105.0,90,31,39,70,98,80,16,38,62
1,1631094,2023-24,00,1610612753,ORL,NR,NR,NR,5,17,12,92.0,96,82,141.0,10,5,99.0,94,19,30,23,63,68,5,16,24
2,1631094,2024-25,00,1610612753,ORL,NR,NR,NR,356,284,294,,281,292,,154,135,,291,314,324,273,395,304,325,271,296
