,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,RANK_MIN,RANK_FGM,RANK_FGA,RANK_FG_PCT,RANK_FG3M,RANK_FG3A,RANK_FG3_PCT,RANK_FTM,RANK_FTA,RANK_FT_PCT,RANK_OREB,RANK_DREB,RANK_REB,RANK_AST,RANK_STL,RANK_BLK,RANK_TOV,RANK_PTS,RANK_EFF
0,202710,2011-12,00,1610612741,CHI,NR,NR,NR,199,192,200,,113,137,,161,167,,166,192,195,171,161,139,180,195,193
1,202710,2012-13,00,1610612741,CHI,NR,NR,NR,21,37,38,46.0,32,34,22.0,17,18,25.0,60,28,33,25,17,30,43,28,30
2,202710,2013-14,00,1610612741,CHI,NR,NR,NR,79,96,84,66.0,69,72,54.0,59,60,39.0,88,96,95,83,61,132,134,86,95
3,202710,2014-15,00,1610612741,CHI,NR,NR,NR,21,11,9,36.0,13,15,25.0,10,13,34.0,31,32,31,24,5,34,24,8,19
4,202710,2016-17,00,1610612741,CHI,NR,NR,NR,56,40,36,44.0,79,63,69.0,19,22,34.0,53,50,50,41,36,40,38,37,45
5,202710,2017-18,00,1610612750,MIN,NR,NR,NR,82,78,77,44.0,60,87,7.0,51,64,19.0,105,64,78,50,92,110,112,74,68
6,202710,2018-19,00,1610612755,PHI,NR,NR,NR,28,17,19,38.0,48,37,77.0,11,11,17.0,19,38,32,17,14,33,24,15,19
7,202710,2019-20,00,1610612748,MIA,NR,NR,NR,1,6,6,23.0,48,48,,1,1,24.0,3,12,6,2,1,10,3,4,4
8,202710,2020-21,00,1610612748,MIA,NR,NR,NR,90,95,74,68.0,109,107,83.0,49,51,49.0,71,73,75,36,66,113,63,89,101
9,202710,2021-22,00,1610612748,MIA,NR,NR,NR,12,4,6,17.0,29,28,59.0,2,4,22.0,4,13,10,12,1,16,24,5,4
10,202710,2022-23,00,1610612748,MIA,NR,NR,NR,1,2,1,34.0,22,24,51.0,1,1,29.0,6,12,9,3,1,14,8,2,3
