,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,202710,2011-12,00,1610612741,CHI,22.0,3,0,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
1,202710,2012-13,00,1610612741,CHI,23.0,12,12,490,50,115,0.435,15,37,0.405,45,55,0.818,9,53,62,32,15,6,16,26,160
2,202710,2013-14,00,1610612741,CHI,24.0,5,5,218,22,57,0.386,6,20,0.3,18,23,0.783,6,20,26,11,6,0,3,13,68
3,202710,2014-15,00,1610612741,CHI,25.0,12,12,506,94,213,0.441,28,72,0.389,59,72,0.819,18,49,67,38,29,9,21,27,275
4,202710,2016-17,00,1610612741,CHI,27.0,6,6,239,46,108,0.426,6,23,0.261,38,47,0.809,9,35,44,26,10,5,15,10,136
5,202710,2017-18,00,1610612750,MIN,28.0,5,5,170,28,63,0.444,8,17,0.471,15,18,0.833,3,27,30,20,4,1,5,9,79
6,202710,2018-19,00,1610612755,PHI,29.0,12,12,421,79,175,0.451,12,45,0.267,63,72,0.875,22,50,72,62,18,7,22,20,233
7,202710,2019-20,00,1610612748,MIA,30.0,21,21,806,144,295,0.488,15,43,0.349,164,191,0.859,46,90,136,127,41,14,59,37,467
8,202710,2020-21,00,1610612748,MIA,31.0,4,4,154,19,64,0.297,4,15,0.267,16,22,0.727,6,24,30,28,5,1,9,6,58
9,202710,2021-22,00,1610612748,MIA,32.0,17,17,629,166,328,0.506,23,68,0.338,111,132,0.841,41,84,125,78,35,11,25,25,466
10,202710,2022-23,00,1610612748,MIA,33.0,22,22,874,207,442,0.468,28,78,0.359,150,186,0.806,47,95,142,129,40,14,41,37,592
