,PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3
0,1630581,Josh,Giddey,Oklahoma City Thunder,NBA Rookie of the Month,,2021-22,11/1/2021,,West,Award,Kia Motors,KIRMO,
1,1630581,Josh,Giddey,Oklahoma City Thunder,NBA Rookie of the Month,,2021-22,12/1/2021,,West,Award,Kia Motors,KIRMO,
2,1630581,Josh,Giddey,Oklahoma City Thunder,NBA Rookie of the Month,,2021-22,1/1/2022,,West,Award,Kia Motors,KIRMO,
3,1630581,Josh,Giddey,Oklahoma City Thunder,NBA Rookie of the Month,,2021-22,2/1/2022,,West,Award,Kia Motors,KIRMO,
4,1630581,Josh,Giddey,Oklahoma City Thunder,All-Rookie Team,2,2021-22,,,West,Award,Kia Motors,KIART,
