,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,RANK_MIN,RANK_FGM,RANK_FGA,RANK_FG_PCT,RANK_FG3M,RANK_FG3A,RANK_FG3_PCT,RANK_FTM,RANK_FTA,RANK_FT_PCT,RANK_OREB,RANK_DREB,RANK_REB,RANK_AST,RANK_STL,RANK_BLK,RANK_TOV,RANK_PTS,RANK_EFF
0,203084,2012-13,00,1610612744,GSW,NR,NR,NR,24,24,26,34.0,17,21,34.0,34,40,16.0,25,22,25,67,57,38,43,24,28
1,203084,2013-14,00,1610612744,GSW,NR,NR,NR,105,104,99,,59,69,31.0,94,81,,79,91,88,102,140,62,110,100,111
2,203084,2014-15,00,1610612744,GSW,NR,NR,NR,7,13,13,37.0,23,24,35.0,37,33,,6,24,13,31,17,23,23,20,21
3,203084,2015-16,00,1610612744,GSW,NR,NR,NR,8,18,13,,14,13,33.0,33,37,,16,10,13,28,17,57,30,18,25
4,203084,2022-23,00,1610612758,SAC,NR,NR,NR,65,79,73,,96,79,,49,48,43.0,57,106,95,124,51,84,121,72,96
