,PLAYER_ID,SEASON_ID,LEAGUE_ID,ORGANIZATION_ID,SCHOOL_NAME,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1631214,2021-22,00,3143,Wake Forest,23.0,35,35,1193,242,477,0.507,40,142,0.282,125,181,0.691,49,175,224,181,42,14,127,72,649
1,1631214,2020-21,00,3389,Oklahoma,22.0,24,14,444,65,135,0.481,4,24,0.167,26,31,0.839,19,48,67,32,17,6,23,37,160
2,1631214,2019-20,00,3389,Oklahoma,21.0,31,11,515,71,162,0.438,17,60,0.283,28,44,0.636,11,49,60,18,11,2,35,60,187
