,PLAYER_ID,GAME_ID,GAME_DATE,VS_TEAM_ID,VS_TEAM_CITY,VS_TEAM_NAME,VS_TEAM_ABBREVIATION,STAT,STAT_VALUE,STAT_ORDER,DATE_EST
0,1627751,0022400230,NOV 16 2024,1610612738,Boston,Celtics,BOS,PTS,35,1,2024-11-16T00:00:00
1,1627751,0022400275,NOV 24 2024,1610612739,Cleveland,Cavaliers,CLE,REB,19,2,2024-11-24T00:00:00
2,1627751,0022400107,OCT 28 2024,1610612743,Denver,Nuggets,DEN,REB,19,2,2024-10-28T00:00:00
3,1627751,0021700063,OCT 25 2017,1610612744,Golden State,Warriors,GSW,OREB,11,3,2017-10-25T00:00:00
4,1627751,0022101199,APR 07 2022,1610612750,Minnesota,Timberwolves,MIN,DREB,14,4,2022-04-07T00:00:00
5,1627751,0022200154,NOV 07 2022,1610612743,Denver,Nuggets,DEN,AST,9,5,2022-11-07T00:00:00
6,1627751,0022300844,FEB 28 2024,1610612742,Dallas,Mavericks,DAL,STL,4,6,2024-02-28T00:00:00
7,1627751,0022300195,NOV 15 2023,1610612749,Milwaukee,Bucks,MIL,STL,4,6,2023-11-15T00:00:00
8,1627751,0022300744,FEB 09 2024,1610612745,Houston,Rockets,HOU,BLK,6,7,2024-02-09T00:00:00
9,1627751,0022200868,FEB 14 2023,1610612753,Orlando,Magic,ORL,BLK,6,7,2023-02-14T00:00:00
10,1627751,0022101094,MAR 23 2022,1610612757,Portland,Trail Blazers,POR,BLK,6,7,2022-03-23T00:00:00
11,1627751,0022400230,NOV 16 2024,1610612738,Boston,Celtics,BOS,FGM,16,8,2024-11-16T00:00:00
12,1627751,0022400011,NOV 15 2024,1610612765,Detroit,Pistons,DET,FGA,20,9,2024-11-15T00:00:00
13,1627751,0022100841,FEB 11 2022,1610612737,Atlanta,Hawks,ATL,FG3M,1,10,2022-02-11T00:00:00
14,1627751,0021700385,DEC 10 2017,1610612758,Sacramento,Kings,SAC,FG3M,1,10,2017-12-10T00:00:00
15,1627751,0022401206,DEC 12 2024,1610612748,Miami,Heat,MIA,FG3A,1,11,2024-12-12T00:00:00
16,1627751,0022400275,NOV 24 2024,1610612739,Cleveland,Cavaliers,CLE,FG3A,1,11,2024-11-24T00:00:00
17,1627751,0022200811,FEB 06 2023,1610612741,Chicago,Bulls,CHI,FG3A,1,11,2023-02-06T00:00:00
18,1627751,0022100841,FEB 11 2022,1610612737,Atlanta,Hawks,ATL,FG3A,1,11,2022-02-11T00:00:00
19,1627751,0021700424,DEC 15 2017,1610612751,Brooklyn,Nets,BKN,FG3A,1,11,2017-12-15T00:00:00
20,1627751,0021700385,DEC 10 2017,1610612758,Sacramento,Kings,SAC,FG3A,1,11,2017-12-10T00:00:00
21,1627751,0022200018,OCT 21 2022,1610612754,Indiana,Pacers,IND,FTM,13,12,2022-10-21T00:00:00
22,1627751,0022200018,OCT 21 2022,1610612754,Indiana,Pacers,IND,FTA,21,13,2022-10-21T00:00:00
