,PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3
0,203497,Rudy,Gobert,Utah Jazz,All-Defensive Team,1,2017-18,,,West,Award,Kia Motors,KIADT,
1,203497,Rudy,Gobert,Utah Jazz,All-Defensive Team,1,2018-19,,,West,Award,Kia Motors,KIADT,
2,203497,Rudy,Gobert,Utah Jazz,All-Defensive Team,1,2019-20,,,West,Award,Kia Motors,KIADT,
3,203497,Rudy,Gobert,Utah Jazz,All-Defensive Team,1,2020-21,,,West,Award,Kia Motors,KIADT,
4,203497,Rudy,Gobert,Utah Jazz,All-NBA,2,2016-17,,,West,Award,Kia Motors,KIANT,
5,203497,Rudy,Gobert,Utah Jazz,All-NBA,3,2018-19,,,West,Award,Kia Motors,KIANT,
6,203497,Rudy,Gobert,Utah Jazz,All-NBA,3,2019-20,,,West,Award,Kia Motors,KIANT,
7,203497,Rudy,Gobert,Utah Jazz,All-NBA,3,2020-21,,,West,Award,Kia Motors,KIANT,
8,203497,Rudy,Gobert,Utah Jazz,NBA Defensive Player of the Year,,2017-18,,,,Award,Kia Motors,KDPYR,
9,203497,Rudy,Gobert,Utah Jazz,NBA Defensive Player of the Year,,2018-19,,,West,Award,Kia Motors,KDPYR,
10,203497,Rudy,Gobert,Utah Jazz,NBA Defensive Player of the Year,,2020-21,,,West,Award,Kia Motors,KDPYR,
11,203497,Rudy,Gobert,Utah Jazz,NBA Player of the Week,,2018-19,,2019-03-11T00:00:00,West,Award,Kia Motors,KIPWK,
12,203497,Rudy,Gobert,Utah Jazz,All-Defensive Team,1,2016-17,,,West,Award,Kia Motors,KIADT,
13,203497,Rudy,Gobert,Utah Jazz,NBA Player of the Week,,2021-22,,2021-10-25T00:00:00,West,Award,Kia Motors,KIPWK,
14,203497,Rudy,Gobert,Utah Jazz,All-Defensive Team,1,2021-22,,,West,Award,Kia Motors,KIADT,
15,203497,Rudy,Gobert,Minnesota Timberwolves,NBA Defensive Player of the Year,,2023-24,,,West,Award,Kia Motors,KDPYR,
16,203497,Rudy,Gobert,Minnesota Timberwolves,All-Defensive Team,1,2023-24,,,West,Award,Kia Motors,KIADT,
17,203497,Rudy,Gobert,,NBA All-Star,,2019-20,,,,Award,All-Star,,
18,203497,Rudy,Gobert,,NBA All-Star,,2021-22,,,,Award,All-Star,,
19,203497,Rudy,Gobert,,NBA All-Star,,2020-21,,,,Award,All-Star,,
20,203497,Rudy,Gobert,France,Olympic Silver Medal,,2024,,,,Award,Olympic,Silver,
