,PLAYER_ID,SEASON_ID,LEAGUE_ID,ORGANIZATION_ID,SCHOOL_NAME,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1641732,2022-23,00,3340,Xavier,21.0,36,36,1226,207,407,0.509,45,119,0.378,81,124,0.653,45,161,206,158,47,20,84,77,540
1,1641732,2021-22,00,3340,Xavier,20.0,35,35,1170,143,296,0.483,21,72,0.292,100,147,0.68,84,172,256,111,54,19,69,78,407
2,1641732,2020-21,00,3340,Xavier,19.0,15,11,416,39,84,0.464,9,27,0.333,28,37,0.757,23,49,72,44,19,4,26,35,115
