,PLAYER_ID,SEASON_ID,LEAGUE_ID,ORGANIZATION_ID,SCHOOL_NAME,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1627741,2015-16,00,3389,Oklahoma,23.0,37,37,1309,301,601,0.501,147,322,0.457,176,200,0.88,46,166,212,75,42,18,113,76,925
1,1627741,2014-15,00,3389,Oklahoma,22.0,35,35,1135,205,498,0.412,93,259,0.359,107,130,0.823,56,134,190,67,47,8,68,61,610
2,1627741,2013-14,00,3389,Oklahoma,21.0,33,32,1059,196,440,0.445,90,233,0.386,63,84,0.75,58,88,146,62,46,5,60,72,545
3,1627741,2012-13,00,3389,Oklahoma,20.0,27,13,679,81,209,0.388,19,80,0.238,30,36,0.833,49,64,113,50,33,7,44,50,211
