,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1627734,2016-17,00,1610612760,OKC,21.0,6,6,141,15,31,0.484,4,13,0.308,5,8,0.625,4,12,16,15,3,0,10,20,39
1,1627734,2017-18,00,1610612754,IND,22.0,3,0,61,13,27,0.481,1,3,0.333,10,16,0.625,6,19,25,3,0,3,5,11,37
2,1627734,2018-19,00,1610612754,IND,23.0,4,1,92,25,55,0.455,1,2,0.5,10,15,0.667,17,30,47,10,2,2,12,10,61
3,1627734,2019-20,00,1610612754,IND,24.0,4,4,98,19,43,0.442,1,8,0.125,11,17,0.647,11,34,45,11,2,2,10,8,50
4,1627734,2020-21,00,1610612754,IND,25.0,3,3,78,23,41,0.561,1,8,0.125,13,19,0.684,12,21,33,5,3,0,6,7,60
5,1627734,2021-22,00,1610612754,IND,26.0,4,4,98,22,40,0.55,3,11,0.273,7,9,0.778,9,28,37,12,5,1,12,8,54
6,1627734,2022-23,00,1610612758,SAC,27.0,4,4,87,13,28,0.464,1,3,0.333,9,13,0.692,8,26,34,20,5,2,4,13,36
7,1627734,2023-24,00,1610612758,SAC,28.0,4,4,100,17,34,0.5,2,5,0.4,12,20,0.6,5,38,43,24,2,0,10,13,48
8,1627734,2024-25,00,1610612758,SAC,28.0,5,5,136,32,62,0.516,1,11,0.091,21,29,0.724,19,36,55,28,6,2,18,13,86
