,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,RANK_MIN,RANK_FGM,RANK_FGA,RANK_FG_PCT,RANK_FG3M,RANK_FG3A,RANK_FG3_PCT,RANK_FTM,RANK_FTA,RANK_FT_PCT,RANK_OREB,RANK_DREB,RANK_REB,RANK_AST,RANK_STL,RANK_BLK,RANK_TOV,RANK_PTS,RANK_EFF
0,1628418,2017-18,00,1610612747,LAL,NR,NR,NR,471,463,465,,418,401,,439,433,,451,446,448,456,476,416,479,465,458
1,1628418,2018-19,00,1610612764,WAS,NR,NR,NR,184,112,178,4.0,263,263,,141,143,,54,60,60,223,280,37,218,134,84
2,1628418,2019-20,00,1610612764,WAS,NR,NR,NR,223,139,184,,235,266,,144,141,,55,109,85,212,259,48,220,156,123
3,1628418,2020-21,00,1610612764,WAS,NR,NR,NR,413,368,408,,370,396,,385,371,,325,399,390,422,448,327,414,376,371
4,1628418,2021-22,00,1610612764,WAS,NR,NR,NR,389,357,377,,375,368,,320,341,,300,338,338,393,443,191,382,358,353
5,1628418,2022-23,00,1610612743,DEN,NR,NR,NR,256,188,236,,298,329,,166,161,,87,103,96,375,338,118,297,202,171
6,1628418,2023-24,00,1610612748,MIA,NR,NR,NR,373,321,358,,413,401,,269,289,,231,297,285,400,386,248,349,333,314
7,1628418,2024-25,00,1610612754,IND,NR,NR,NR,337,331,347,,274,290,,288,324,,257,284,282,393,366,147,405,328,309
