,PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3
0,203110,Draymond,Green,Golden State Warriors,All-Defensive Team,1,2014-15,,,1610612744,Award,Kia Motors,KIADT,
1,203110,Draymond,Green,Golden State Warriors,All-Defensive Team,1,2015-16,,,West,Award,Kia Motors,KIADT,
2,203110,Draymond,Green,Golden State Warriors,All-Defensive Team,2,2017-18,,,West,Award,Kia Motors,KIADT,
3,203110,Draymond,Green,Golden State Warriors,All-Defensive Team,2,2018-19,,,West,Award,Kia Motors,KIADT,
4,203110,Draymond,Green,Golden State Warriors,All-Defensive Team,1,2020-21,,,West,Award,Kia Motors,KIADT,
5,203110,Draymond,Green,Golden State Warriors,All-NBA,2,2015-16,,,West,Award,Kia Motors,KIANT,
6,203110,Draymond,Green,Golden State Warriors,All-NBA,3,2016-17,,,West,Award,Kia Motors,KIANT,
7,203110,Draymond,Green,Golden State Warriors,NBA Defensive Player of the Year,(null),2016-17,,,West,Award,Kia Motors,KDPYR,(null)
8,203110,Draymond,Green,Golden State Warriors,NBA Player of the Week,,2015-16,,2016-01-04T00:00:00,West,Award,Kia Motors,KIPWK,
9,203110,Draymond,Green,Golden State Warriors,All-Defensive Team,1,2016-17,,,West,Award,Kia Motors,KIADT,
10,203110,Draymond,Green,Golden State Warriors,All-Defensive Team,2,2021-22,,,West,Award,Kia Motors,KIADT,
11,203110,Draymond,Green,Golden State Warriors,All-Defensive Team,2,2022-23,,,West,Award,Kia Motors,KIADT,
12,203110,Draymond,Green,USA,Olympic Gold Medal,,2016,,,,Award,Olympic,Gold,
13,203110,Draymond,Green,USA,Olympic Gold Medal,,2020,,,,Award,Olympic,Gold,
14,203110,Draymond,Green,,NBA All-Star,,2015-16,,,,Award,All-Star,,
15,203110,Draymond,Green,,NBA All-Star,,2016-17,,,,Award,All-Star,,
16,203110,Draymond,Green,,NBA All-Star,,2017-18,,,,Award,All-Star,,
17,203110,Draymond,Green,,NBA All-Star,,2021-22,,,,Award,All-Star,,
18,203110,Draymond,Green,Golden State Warriors,NBA Champion,,2014-15,,,,Award,Champion,,
19,203110,Draymond,Green,Golden State Warriors,NBA Champion,,2016-17,,,,Award,Champion,,
20,203110,Draymond,Green,Golden State Warriors,NBA Champion,,2017-18,,,,Award,Champion,,
21,203110,Draymond,Green,Golden State Warriors,NBA Champion,,2021-22,,,,Award,Champion,,
