,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,RANK_MIN,RANK_FGM,RANK_FGA,RANK_FG_PCT,RANK_FG3M,RANK_FG3A,RANK_FG3_PCT,RANK_FTM,RANK_FTA,RANK_FT_PCT,RANK_OREB,RANK_DREB,RANK_REB,RANK_AST,RANK_STL,RANK_BLK,RANK_TOV,RANK_PTS,RANK_EFF
0,1630180,2020-21,00,1610612765,DET,NR,NR,NR,64,112,76,120.0,17,16,94,92,101,45,156,62,89,195,99,233,182,81,116
1,1630180,2021-22,00,1610612765,DET,NR,NR,NR,5,48,29,109.0,15,9,108,45,43,52,57,53,50,73,53,243,107,35,61
2,1630180,2022-23,00,1610612737,ATL,NR,NR,NR,83,104,82,112.0,50,41,99,59,68,30,68,96,81,179,63,262,181,87,114
3,1630180,2023-24,00,1610612737,ATL,NR,NR,NR,92,147,117,,104,76,156,75,81,45,23,108,64,237,138,298,225,124,138
