,PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3
0,203076,Anthony,Davis,New Orleans Pelicans,All-Defensive Team,2,2014-15,,,1610612740,Award,Kia Motors,KIADT,
1,203076,Anthony,Davis,New Orleans Pelicans,All-Defensive Team,1,2017-18,,,West,Award,Kia Motors,KIADT,
2,203076,Anthony,Davis,Los Angeles Lakers,All-Defensive Team,1,2019-20,,,West,Award,Kia Motors,KIADT,
3,203076,Anthony,Davis,New Orleans Pelicans,All-NBA,1,2014-15,,,1610612740,Award,Kia Motors,KIANT,
4,203076,Anthony,Davis,New Orleans Pelicans,All-NBA,1,2016-17,,,West,Award,Kia Motors,KIANT,
5,203076,Anthony,Davis,New Orleans Pelicans,All-NBA,1,2017-18,,,West,Award,Kia Motors,KIANT,
6,203076,Anthony,Davis,Los Angeles Lakers,All-NBA,1,2019-20,,,West,Award,Kia Motors,KIANT,
7,203076,Anthony,Davis,New Orleans Pelicans,All-Rookie Team,1,2012-13,,,1610612740,Award,Kia Motors,KIART,
8,203076,Anthony,Davis,New Orleans Pelicans,NBA All-Star Most Valuable Player,,2016-17,,,,Award,Kia Motors,KAMVP,
9,203076,Anthony,Davis,New Orleans Pelicans,NBA Player of the Month,,2017-18,2/1/2018,,West,Award,Kia Motors,KIPMO,
10,203076,Anthony,Davis,New Orleans Pelicans,NBA Player of the Month,,2017-18,3/1/2018,,West,Award,Kia Motors,KIPMO,
11,203076,Anthony,Davis,New Orleans Pelicans,NBA Player of the Week,,2014-15,,2015-03-09T00:00:00,West,Award,Kia Motors,KIPWK,
12,203076,Anthony,Davis,New Orleans Pelicans,NBA Player of the Week,,2016-17,,2016-11-21T00:00:00,West,Award,Kia Motors,KIPWK,
13,203076,Anthony,Davis,New Orleans Pelicans,NBA Player of the Week,,2017-18,,2017-11-20T00:00:00,West,Award,Kia Motors,KIPWK,
14,203076,Anthony,Davis,New Orleans Pelicans,NBA Player of the Week,,2017-18,,2018-02-26T00:00:00,West,Award,Kia Motors,KIPWK,
15,203076,Anthony,Davis,New Orleans Pelicans,NBA Player of the Week,,2018-19,,2018-11-12T00:00:00,West,Award,Kia Motors,KIPWK,
16,203076,Anthony,Davis,Los Angeles Lakers,NBA Player of the Week,,2019-20,,2019-10-28T00:00:00,West,Award,Kia Motors,KIPWK,
17,203076,Anthony,Davis,Los Angeles Lakers,NBA Player of the Week,,2019-20,,2019-12-02T00:00:00,West,Award,Kia Motors,KIPWK,
18,203076,Anthony,Davis,USA,Olympic Gold Medal,,2012,,,,Award,Olympic,Gold,
19,203076,Anthony,Davis,New Orleans Pelicans,All-Defensive Team,2,2016-17,,,West,Award,Kia Motors,KIADT,
20,203076,Anthony,Davis,Los Angeles Lakers,NBA Player of the Week,,2022-23,,2023-03-27T00:00:00,West,Award,Kia Motors,KIPWK,
21,203076,Anthony,Davis,Los Angeles Lakers,NBA Player of the Week,,2022-23,,2022-11-28T00:00:00,West,Award,Kia Motors,KIPWK,
22,203076,Anthony,Davis,Los Angeles Lakers,NBA Player of the Month,,2022-23,3/1/2023,,West,Award,Kia Motors,KIPMO,
23,203076,Anthony,Davis,Los Angeles Lakers,NBA Player of the Week,,2023-24,,2024-03-18T00:00:00,West,Award,Kia Motors,KIPWK,
24,203076,Anthony,Davis,Los Angeles Lakers,NBA In-Season Tournament All-Tournament,1,2023-24,,,East,Award,Kia Motors,KIANT,
25,203076,Anthony,Davis,Los Angeles Lakers,All-Defensive Team,1,2023-24,,,West,Award,Kia Motors,KIADT,
26,203076,Anthony,Davis,Los Angeles Lakers,All-NBA,2,2023-24,,,West,Award,Kia Motors,KIANT,
27,203076,Anthony,Davis,,NBA All-Star,,2017-18,,,,Award,All-Star,,
28,203076,Anthony,Davis,,NBA All-Star,,2020-21,,,,Award,All-Star,,
29,203076,Anthony,Davis,,NBA All-Star,,2013-14,,,,Award,All-Star,,
30,203076,Anthony,Davis,,NBA All-Star,,2014-15,,,,Award,All-Star,,
31,203076,Anthony,Davis,,NBA All-Star,,2015-16,,,,Award,All-Star,,
32,203076,Anthony,Davis,,NBA All-Star,,2016-17,,,,Award,All-Star,,
33,203076,Anthony,Davis,,NBA All-Star,,2018-19,,,,Award,All-Star,,
34,203076,Anthony,Davis,,NBA All-Star,,2019-20,,,,Award,All-Star,,
35,203076,Anthony,Davis,,NBA All-Star,,2023-24,,,,Award,All-Star,,
36,203076,Anthony,Davis,Los Angeles Lakers,NBA Champion,,2019-20,,,,Award,Champion,,
37,203076,Anthony,Davis,USA,Olympic Gold Medal,,2024,,,,Award,Olympic,Gold,
38,203076,Anthony,Davis,Los Angeles Lakers,NBA Player of the Week,,2024-25,,2024-10-21T00:00:00,West,Award,Kia Motors,KIPWK,
