,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,RANK_MIN,RANK_FGM,RANK_FGA,RANK_FG_PCT,RANK_FG3M,RANK_FG3A,RANK_FG3_PCT,RANK_FTM,RANK_FTA,RANK_FT_PCT,RANK_OREB,RANK_DREB,RANK_REB,RANK_AST,RANK_STL,RANK_BLK,RANK_TOV,RANK_PTS,RANK_EFF
0,204001,2015-16,00,1610612752,NYK,NR,NR,NR,106,73,63,101.0,104,92,,58,66,33,56,41,45,205,145,8,81,70,63
1,204001,2016-17,00,1610612752,NYK,NR,NR,NR,84,44,40,76.0,69,64,81.0,56,58,72,65,50,52,195,164,7,85,44,62
2,204001,2017-18,00,1610612752,NYK,NR,NR,NR,183,68,52,93.0,115,128,38.0,38,39,57,131,114,122,282,222,8,141,56,107
3,204001,2019-20,00,1610612742,DAL,NR,NR,NR,91,46,38,105.0,43,31,108.0,35,35,69,50,16,20,174,163,7,103,40,35
4,204001,2020-21,00,1610612742,DAL,NR,NR,NR,176,76,80,63.0,111,113,99.0,102,109,37,70,54,57,261,307,33,218,77,84
5,204001,2021-22,00,1610612764,WAS,NR,NR,NR,180,88,85,59.0,155,138,,31,36,21,62,68,60,179,218,17,139,73,76
6,204001,2022-23,00,1610612764,WAS,NR,NR,NR,87,41,48,42.0,68,72,62.0,18,21,38,55,28,34,127,105,12,64,31,24
7,204001,2023-24,00,1610612738,BOS,NR,NR,NR,161,85,104,34.0,106,112,83.0,34,41,30,69,64,67,194,194,10,137,73,69
8,204001,2024-25,00,1610612738,BOS,NR,NR,NR,282,207,207,,199,203,,98,107,41,158,198,196,310,303,80,312,189,213
