,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,RANK_MIN,RANK_FGM,RANK_FGA,RANK_FG_PCT,RANK_FG3M,RANK_FG3A,RANK_FG3_PCT,RANK_FTM,RANK_FTA,RANK_FT_PCT,RANK_OREB,RANK_DREB,RANK_REB,RANK_AST,RANK_STL,RANK_BLK,RANK_TOV,RANK_PTS,RANK_EFF
0,1628370,2017-18,00,1610612766,CHA,NR,NR,NR,295,254,212,,130,120,115.0,312,329,,394,359,369,211,317,313,257,249,323
1,1628370,2018-19,00,1610612766,CHA,NR,NR,NR,227,178,146,,94,77,116.0,171,194,,343,281,297,182,211,214,145,168,254
2,1628370,2019-20,00,1610612766,CHA,NR,NR,NR,218,168,157,,176,147,,155,169,,250,236,242,150,259,213,137,170,232
3,1628370,2020-21,00,1610612766,CHA,NR,NR,NR,283,207,197,,128,144,48.0,208,227,,364,316,330,215,314,396,196,196,272
4,1628370,2021-22,00,1610612747,LAL,NR,NR,NR,67,72,74,42.0,34,37,35.0,152,160,,227,142,165,88,93,129,70,70,102
5,1628370,2022-23,00,1610612758,SAC,NR,NR,NR,157,101,93,90.0,61,51,102.0,70,82,12.0,271,196,217,53,144,191,50,90,121
6,1628370,2023-24,00,1610612758,SAC,NR,NR,NR,130,80,69,107.0,60,45,130.0,75,77,52.0,292,179,206,37,173,104,51,78,105
7,1628370,2024-25,00,1610612758,SAC,NR,NR,NR,99,82,72,97.0,61,47,125.0,82,94,21.0,349,134,177,54,164,109,88,74,94
