,PLAYER_ID,SEASON_ID,LEAGUE_ID,ORGANIZATION_ID,SCHOOL_NAME,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1641765,2022-23,00,3742,Marquette,20.0,36,36,1048,150,293,0.512,39,115,0.339,111,151,0.735,61,107,168,24,33,5,50,83,450
1,1641765,2021-22,00,3742,Marquette,19.0,32,25,663,76,165,0.461,19,60,0.317,41,50,0.82,19,87,106,29,28,4,29,68,212
2,1641765,2020-21,00,3526,Clemson,18.0,22,2,216,18,52,0.346,3,18,0.167,15,22,0.682,18,23,41,6,4,3,8,21,54
