,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,201142,2009-10,00,1610616834,WST,21.0,1,0,20,7,14,0.5,1,3,0.333,0,0,0.0,1,4,5,0,0,0,2,0,15
1,201142,2010-11,00,1610616834,WST,22.0,1,1,30,11,23,0.478,4,11,0.364,8,8,1.0,0,3,3,2,2,2,0,3,34
2,201142,2011-12,00,1610616834,WST,23.0,1,1,37,14,25,0.56,3,8,0.375,5,7,0.714,3,4,7,3,3,0,2,0,36
3,201142,2012-13,00,1610616834,WST,24.0,1,1,31,13,24,0.542,3,8,0.375,1,1,1.0,0,6,6,1,2,0,0,3,30
4,201142,2013-14,00,1610616834,WST,25.0,1,1,35,14,27,0.519,6,17,0.353,4,4,1.0,3,7,10,6,1,0,1,0,38
5,201142,2014-15,00,1610616834,WST,26.0,1,0,10,1,6,0.167,1,6,0.167,0,0,0.0,0,3,3,1,1,0,2,0,3
6,201142,2015-16,00,1610616834,WST,27.0,1,1,23,11,18,0.611,1,8,0.125,0,0,0.0,2,3,5,7,2,0,0,0,23
7,201142,2016-17,00,1610616834,WST,28.0,1,1,27,9,16,0.563,2,8,0.25,1,2,0.5,4,6,10,10,2,0,0,1,21
8,201142,2017-18,00,1610616833,LBN,29.0,1,1,30,7,13,0.538,3,8,0.375,2,2,1.0,1,5,6,5,3,1,2,3,19
9,201142,2018-19,00,1610616834,LBN,30.0,1,1,25,10,15,0.667,6,9,0.667,5,5,1.0,0,7,7,2,1,2,2,1,31
10,201142,2023-24,00,1610616834,WST,35.0,1,1,25,7,12,0.583,4,8,0.5,0,0,0.0,2,3,5,5,2,0,3,0,18
