,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,RANK_MIN,RANK_FGM,RANK_FGA,RANK_FG_PCT,RANK_FG3M,RANK_FG3A,RANK_FG3_PCT,RANK_FTM,RANK_FTA,RANK_FT_PCT,RANK_OREB,RANK_DREB,RANK_REB,RANK_AST,RANK_STL,RANK_BLK,RANK_TOV,RANK_PTS,RANK_EFF
0,202331,2010-11,00,1610612754,IND,NR,NR,NR,223,212,210,,150,140,,201,204,,233,161,181,228,106,155,186,211,212
1,202331,2011-12,00,1610612754,IND,NR,NR,NR,52,81,78,67.0,39,40,39.0,71,75,53.0,141,34,53,76,6,83,59,71,52
2,202331,2012-13,00,1610612754,IND,NR,NR,NR,8,31,20,108.0,10,6,78.0,47,52,50.0,108,15,29,41,6,78,12,23,19
3,202331,2013-14,00,1610612754,IND,NR,NR,NR,9,14,8,106.0,13,7,60.0,9,10,11.0,141,22,38,55,4,172,12,9,17
4,202331,2014-15,00,1610612754,IND,NR,NR,NR,448,425,419,,291,305,,414,419,,429,431,432,437,420,414,403,419,435
5,202331,2015-16,00,1610612754,IND,NR,NR,NR,10,11,4,106.0,6,5,45.0,6,9,21.0,99,16,37,36,6,131,5,7,11
6,202331,2016-17,00,1610612754,IND,NR,NR,NR,17,20,18,61.0,12,12,31.0,21,28,5.0,147,25,47,61,15,147,11,20,21
7,202331,2017-18,00,1610612760,OKC,NR,NR,NR,9,19,14,105.0,2,3,30.0,14,14,43.0,110,45,59,57,2,98,15,15,22
8,202331,2018-19,00,1610612760,OKC,NR,NR,NR,5,6,3,88.0,3,3,35.0,5,5,38.0,64,15,25,44,1,110,22,2,10
9,202331,2019-20,00,1610612746,LAC,NR,NR,NR,164,70,63,90.0,28,43,14.0,46,59,16.0,279,98,132,86,53,174,60,59,81
10,202331,2020-21,00,1610612746,LAC,NR,NR,NR,81,33,33,72.0,22,27,30.0,39,45,25.0,153,46,63,43,67,144,15,31,41
11,202331,2021-22,00,1610612746,LAC,NR,NR,NR,255,140,120,,129,129,101.0,108,125,25.0,421,160,209,118,77,280,66,133,180
12,202331,2022-23,00,1610612746,LAC,NR,NR,NR,121,55,50,85.0,43,39,83.0,42,49,21.0,205,69,92,58,32,191,36,47,68
13,202331,2023-24,00,1610612746,LAC,NR,NR,NR,31,25,24,78.0,5,11,24.0,33,46,6.0,241,48,74,81,4,117,48,20,30
14,202331,2024-25,00,1610612755,PHI,NR,NR,NR,160,112,94,115.0,100,87,136.0,120,129,60.0,237,89,116,86,35,187,75,106,128
