,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,RANK_MIN,RANK_FGM,RANK_FGA,RANK_FG_PCT,RANK_FG3M,RANK_FG3A,RANK_FG3_PCT,RANK_FTM,RANK_FTA,RANK_FT_PCT,RANK_OREB,RANK_DREB,RANK_REB,RANK_AST,RANK_STL,RANK_BLK,RANK_TOV,RANK_PTS,RANK_EFF
0,1629631,2020-21,00,1610612737,ATL,NR,NR,NR,91,101,93,,95,105,,69,65,,133,89,99,139,146,64,75,97,115
1,1629631,2021-22,00,1610612737,ATL,NR,NR,NR,80,56,70,13.0,53,70,8.0,58,61,35.0,129,98,106,150,92,106,62,57,73
2,1629631,2022-23,00,1610612737,ATL,NR,NR,NR,59,54,55,39.0,44,51,45.0,81,83,,75,67,71,106,84,84,67,58,76
