,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1629673,2019-20,00,1610612744,GSW,21.0,5,1,113,19,54,0.352,13,39,0.333,15,17,0.882,1,6,7,5,3,1,11,11,66
1,1629673,2020-21,00,1610612744,GSW,22.0,3,0,50,9,17,0.529,3,6,0.5,5,5,1.0,1,2,3,5,0,0,3,8,26
2,1629673,2021-22,00,1610612744,GSW,23.0,5,5,113,40,79,0.506,16,44,0.364,13,15,0.867,1,16,17,15,5,2,8,9,109
3,1629673,2022-23,00,1610612744,GSW,24.0,4,3,84,15,46,0.326,4,22,0.182,6,7,0.857,2,9,11,9,5,3,7,7,40
4,1629673,2023-24,00,1610612764,WAS,25.0,4,4,89,19,60,0.317,12,34,0.353,27,29,0.931,1,11,12,11,4,0,9,3,77
5,1629673,2024-25,00,1610612764,WAS,25.0,5,5,110,21,50,0.42,7,27,0.259,9,10,0.9,1,8,9,18,3,1,9,10,58
