,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,RANK_MIN,RANK_FGM,RANK_FGA,RANK_FG_PCT,RANK_FG3M,RANK_FG3A,RANK_FG3_PCT,RANK_FTM,RANK_FTA,RANK_FT_PCT,RANK_OREB,RANK_DREB,RANK_REB,RANK_AST,RANK_STL,RANK_BLK,RANK_TOV,RANK_PTS,RANK_EFF
0,1628989,2020-21,00,1610612737,ATL,NR,NR,NR,18,25,24,48.0,18,12,59,69,62,,46,28,31,19,23,8,29,28,28
1,1628989,2021-22,00,1610612737,ATL,NR,NR,NR,95,116,94,,67,63,77,131,135,,157,113,125,62,68,73,62,112,119
2,1628989,2022-23,00,1610612758,SAC,NR,NR,NR,76,79,64,,82,47,88,91,96,,138,56,81,102,95,24,106,87,105
